numero;id;status;vazia;origem;carreta;cavalo;data;km_odometro;km_gps;km_reta;rota_km;tem_polyline;pontos_trajeto;pontos_todas_placas;rastreado_via;problemas
C-2026-000075;75;Entregue;N;HIDROLANDIA;GSV8C03;HOA0B56;2026-08-17;;0;805.4;917.4;S;0;0;{'placa': 'GSV8203', 'tipo': 'carreta1'};SEM trajeto em NENHUMA placa (linha do percurso nao aparece) | KM rastreador NULO (aparelho nao reporta odometro) | ENTREGUE sem trajeto nenhum
C-2026-000080;80;Entregue;N;JUNDIAI;HMV3D59;GVK8I66;2026-08-17;;1985.3;1475.9;2049.8;S;749;749;{'placa': 'HMV3D59', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000083;83;Entregue;N;EXTREMA;HOA0E67;HKE0G75;2026-08-17;;0;804.6;1018.0;S;0;0;{'placa': 'HOA0467', 'tipo': 'carreta1'};SEM trajeto em NENHUMA placa (linha do percurso nao aparece) | KM rastreador NULO (aparelho nao reporta odometro) | ENTREGUE sem trajeto nenhum
C-2026-000371;371;Entregue;N;Rubiataba;TYN8I98;QOX7H94;2026-08-01;;0;1053.1;1490.6;S;3979;4903;{'placa': 'TYN8I98', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000372;372;Entregue;N;Amparo;HKE0420;QOY6F50;2026-08-01;;0;454.7;546.7;S;14;14;{'fallback_carreta_muda': True, 'placa': 'QOY6F50', 'tipo': 'cavalo'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000373;373;Entregue;N;Uberlândia;TZD5A42;NGP5784;2026-08-01;;1105.4;781.2;1014.3;S;327;327;{'placa': 'TZD5A42', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000374;374;Entregue;N;Jundiaí;TZC0I41;HOA0B56;2026-08-01;;325.1;749.1;845.1;S;81;81;{'placa': 'TZC0I41', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000375;375;Entregue;N;Uberlândia;TZB0J17;AZM6E29;2026-08-03;;551.6;694.0;993.4;S;76;132;{'placa': 'TZB0J17', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000376;376;Entregue;N;Uberlândia;TZC9G24;TYX9F55;2026-08-03;;0;542.9;628.1;S;11453;12570;{'placa': 'TZC9G24', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000377;377;Entregue;N;Uberlândia;TDI2H14;HBG6C95;2026-08-03;;366.9;346.5;422.8;S;36;36;{'placa': 'TDI2H14', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000378;378;Entregue;N;Uberlândia;TZB1H87;QJP0A68;2026-08-03;;909.8;834.2;1030.4;S;471;471;{'placa': 'TZB1H87', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000379;379;Entregue;N;Montes Claros;QXH6946;TDW4G23;2026-08-03;;791.7;741.8;987.7;S;152;179;{'placa': 'QXH6946', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
