numero;id;status;vazia;origem;carreta;cavalo;data;km_odometro;km_gps;km_reta;rota_km;tem_polyline;pontos_trajeto;pontos_todas_placas;rastreado_via;problemas
C-2026-000075;75;Entregue;N;HIDROLANDIA;GSV8C03;HOA0B56;2026-08-17;;0;805.4;917.4;S;0;0;{'placa': 'GSV8203', 'tipo': 'carreta1'};SEM trajeto em NENHUMA placa (linha do percurso nao aparece) | KM rastreador NULO (aparelho nao reporta odometro) | ENTREGUE sem trajeto nenhum
C-2026-000080;80;Entregue;N;JUNDIAI;HMV3D59;GVK8I66;2026-08-17;556;1985.3;1475.9;2049.8;S;749;749;{'placa': 'HMV3D59', 'tipo': 'carreta1'};ODOMETRO ABAIXO DA RETA (aparelho nao contou a viagem)
C-2026-000083;83;Entregue;N;EXTREMA;HOA0E67;HKE0G75;2026-08-17;;0;804.6;1018.0;S;0;0;{'placa': 'HOA0467', 'tipo': 'carreta1'};SEM trajeto em NENHUMA placa (linha do percurso nao aparece) | KM rastreador NULO (aparelho nao reporta odometro) | ENTREGUE sem trajeto nenhum
C-2026-000372;372;Entregue;N;Amparo;HKE0420;QOY6F50;2026-08-01;;0.1;454.7;546.7;S;14;14;{'fallback_carreta_muda': True, 'placa': 'QOY6F50', 'tipo': 'cavalo'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000373;373;Entregue;N;Uberlândia;TZD5A42;NGP5784;2026-08-01;;1105.4;781.2;1014.3;S;327;327;{'placa': 'TZD5A42', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000374;374;Entregue;N;Jundiaí;TZC0I41;HOA0B56;2026-08-01;;325.1;749.1;845.1;S;81;81;{'placa': 'TZC0I41', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000375;375;Entregue;N;Uberlândia;TZB0J17;AZM6E29;2026-08-03;;83.4;694.0;993.4;S;38;94;{'fallback_carreta_muda': True, 'placa': 'AZM6E29', 'tipo': 'cavalo'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000376;376;Entregue;N;Uberlândia;TZC9G24;TYX9F55;2026-08-03;;0;542.9;628.1;S;59;1176;{'fallback_carreta_muda': True, 'placa': 'TYX9F55', 'tipo': 'cavalo'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000377;377;Entregue;N;Uberlândia;TDI2H14;HBG6C95;2026-08-03;;366.9;346.5;422.8;S;36;36;{'placa': 'TDI2H14', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000378;378;Entregue;N;Uberlândia;TZB1H87;QJP0A68;2026-08-03;;909.8;834.2;1030.4;S;471;471;{'placa': 'TZB1H87', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000379;379;Entregue;N;Montes Claros;QXH6946;TDW4G23;2026-08-03;;792.1;741.8;987.7;S;122;149;{'fallback_carreta_muda': True, 'placa': 'TDW4G23', 'tipo': 'cavalo'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000380;380;Entregue;N;Uberlândia;QXA2997;ITD7F37;2026-08-03;;0;255.2;351.7;S;5;5;{'placa': 'QXA2997', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000381;381;Entregue;N;Uberlândia;TCE7I47;DPF3C52;2026-08-03;;363.8;346.5;422.8;S;43;43;{'placa': 'TCE7I47', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000382;382;Entregue;N;Extrema;HMV3G86;AZK2I93;2026-08-03;;866.9;804.6;1018.0;S;64;64;{'placa': 'HMV3G86', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000383;383;Entregue;N;Nerópolis;HMV3714;TYX9F52;2026-08-03;;1253.5;941.9;1336.7;S;1229;1388;{'fallback_carreta_muda': True, 'placa': 'TYX9F52', 'tipo': 'cavalo'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000384;384;Entregue;N;Extrema;TYO9J49;UBS5B65;2026-08-04;;1067.4;804.6;1018.0;S;269;390;{'placa': 'TYO9J49', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000385;385;Entregue;N;Manhuaçu;TZC9F36;OBG9E84;2026-08-04;;627.3;471.7;632.0;S;88;88;{'placa': 'TZC9F36', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000386;386;Entregue;N;Serra;HKE0480;CYB3713;2026-08-04;;985.4;785.1;1028.8;S;232;232;{'placa': 'HKE0480', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000387;387;Entregue;N;São José dos Campos;TCX3D25;HJZ0B89;2026-08-04;;1140.6;790.5;961.9;S;134;134;{'placa': 'TCX3D25', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000388;388;Entregue;N;Juiz de Fora;TZB0J17;AZM6E29;2026-08-05;;470.2;431.0;553.1;S;136;404;{'fallback_carreta_muda': True, 'placa': 'AZM6E29', 'tipo': 'cavalo'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000389;389;Entregue;N;Ibiá;TZB1D11;QPJ1860;2026-08-05;;1417.0;1139.7;1422.9;S;615;1190;{'fallback_carreta_muda': True, 'placa': 'QPJ1860', 'tipo': 'cavalo'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000390;390;Entregue;N;Uberlândia;GZQ3A40;HMV6837;2026-08-05;;320.6;249.7;318.4;S;62;62;{'placa': 'GZQ3A40', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000391;391;Entregue;N;Uberlândia;HIG4A80;TYX9F55;2026-08-05;;154.6;123.2;135.7;S;428;522;{'placa': 'HIG4A80', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000392;392;Entregue;N;Jundiaí;QXH6946;TDW4G23;2026-08-05;1834;4035.0;830.5;951.8;S;11494;12848;{'fallback_carreta_muda': True, 'placa': 'TDW4G23', 'tipo': 'cavalo'};HAVERSINE inflado (jitter/saltos de posicao)
C-2026-000393;393;Entregue;N;Uberlândia;CZB4927;QQB5321;2026-08-05;;112.1;86.4;112.9;S;166;237;{'fallback_carreta_muda': True, 'placa': 'QQB5321', 'tipo': 'cavalo'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000394;394;Entregue;N;Canápolis;QXA2997;ITD7F37;2026-08-05;0;1003.9;936.8;1170.5;S;170;170;{'placa': 'QXA2997', 'tipo': 'carreta1'};ODOMETRO ABAIXO DA RETA (aparelho nao contou a viagem)
C-2026-000396;396;Entregue;N;Uberlândia;HIG4A80;TDW4E79;2026-08-05;;170.5;123.2;135.7;S;248;342;{'fallback_carreta_muda': True, 'placa': 'TDW4E79', 'tipo': 'cavalo'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000397;397;Entregue;N;Viana;TCF1H59;JXX4C04;2026-08-05;;933.2;756.9;992.0;S;103;103;{'placa': 'TCF1H59', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000398;398;Entregue;N;Nerópolis;HOA0467;HKE0G75;2026-08-05;;0;733.3;990.5;S;0;0;{'placa': 'HOA0467', 'tipo': 'carreta1'};SEM trajeto em NENHUMA placa (linha do percurso nao aparece) | KM rastreador NULO (aparelho nao reporta odometro) | ENTREGUE sem trajeto nenhum
C-2026-000399;399;Entregue;N;Jundiaí;TCX3D71;CNI1888;2026-08-06;;540.5;500.7;539.3;S;126;126;{'placa': 'TCX3D71', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000400;400;Entregue;N;Serra;QXG2647;HKE0G50;2026-08-06;;1246.3;1025.7;1309.7;S;238;238;{'placa': 'QXG2647', 'tipo': 'carreta1'};KM rastreador NULO (aparelho nao reporta odometro)
C-2026-000427;427;Entregue;N;Uberlândia;MWP0H69;AVH6F10;2026-08-18;46;44.3;540.9;601.0;S;15;15;{'placa': 'MWP0769', 'tipo': 'carreta1'};ODOMETRO ABAIXO DA RETA (aparelho nao contou a viagem)
C-2026-000443;443;Entregue;N;Nerópolis;QXA9H76;QOY6F50;2026-08-19;425;416.2;733.3;990.5;S;713;974;{'fallback_carreta_muda': True, 'placa': 'QOY6F50', 'tipo': 'cavalo'};ODOMETRO ABAIXO DA RETA (aparelho nao contou a viagem)
C-2026-000447;447;Entregue;N;Uberlândia;HKE0E20;QJP0A68;2026-08-19;;0;694.0;993.4;S;0;0;{'placa': 'HKE0420', 'tipo': 'carreta1'};SEM trajeto em NENHUMA placa (linha do percurso nao aparece) | KM rastreador NULO (aparelho nao reporta odometro) | ENTREGUE sem trajeto nenhum
C-2026-000456;456;Entregue;N;Jarinu;GSV8C03;HOA0B56;2026-08-20;;0;731.0;847.9;S;0;0;{'placa': 'GSV8203', 'tipo': 'carreta1'};SEM trajeto em NENHUMA placa (linha do percurso nao aparece) | KM rastreador NULO (aparelho nao reporta odometro) | ENTREGUE sem trajeto nenhum
