numero;antes;depois;chegada_gps;erro_antes_h;erro_depois_h;veredito
C-2026-000072;2026-08-18 20:11:22.222765;2026-08-20 11:15:26;2026-08-19 11:19:58;15.1;23.9;piorou
C-2026-000073;2026-08-18 20:11:22.244526;2026-08-20 01:07:36;2026-08-19 01:12:36;5.0;23.9;piorou
C-2026-000074;2026-08-18 20:11:22.245629;2026-08-20 01:04:36;2026-08-19 01:10:18;5.0;23.9;piorou
C-2026-000075;2026-08-18 20:11:22.246640;2026-08-20 00:00:00;;;;sem referencia
C-2026-000076;None;2026-08-22 10:50:19;2026-08-21 11:05:19;;;sem referencia
C-2026-000077;None;2026-08-20 00:00:00;2026-08-18 17:39:47;;;sem referencia
C-2026-000078;2026-08-18 20:11:22.247727;2026-08-18 13:22:23;2026-08-17 21:51:26;22.3;15.5;melhorou
C-2026-000080;None;2026-08-21 21:15:02;2026-08-20 21:15:02;;;sem referencia
C-2026-000081;None;2026-08-19 00:36:17;2026-08-18 00:39:47;;;sem referencia
C-2026-000082;None;2026-08-19 21:18:54;2026-08-19 08:02:00;;;sem referencia
C-2026-000083;None;2026-08-24 00:00:00;;;;sem referencia
C-2026-000084;None;2026-08-21 00:00:00;2026-08-19 08:12:42;;;sem referencia
C-2026-000085;None;2026-08-19 12:28:41;2026-08-16 21:52:42;;;sem referencia
C-2026-000086;2026-08-18 00:00:00;2026-08-19 06:36:22;2026-08-16 17:19:36;30.7;61.3;piorou
C-2026-000087;None;2026-08-20 03:13:48;2026-08-19 03:18:48;;;sem referencia
C-2026-000088;2026-08-19 12:32:20.730198;2026-08-18 19:23:48;2026-08-18 09:19:52;27.2;10.1;melhorou
C-2026-000089;2026-08-18 17:17:25.846480;2026-08-19 15:23:19;2026-08-18 15:38:19;1.7;23.8;piorou
C-2026-000371;2026-08-04 16:54:14.498898;2026-08-26 16:08:42;;;;sem referencia
C-2026-000372;2026-08-04 19:46:40.357906;2026-08-19 00:00:00;2026-08-03 14:17:48;29.5;369.7;piorou
C-2026-000373;2026-08-11 14:34:01.518355;2026-08-08 16:26:05;2026-08-07 16:53:57;93.7;23.5;melhorou
C-2026-000374;2026-08-05 02:00:31.831923;2026-08-06 01:38:53;2026-08-05 01:43:53;0.3;23.9;piorou
C-2026-000375;2026-08-04 14:04:36.125499;2026-08-05 00:00:00;;;;sem referencia
C-2026-000376;2026-08-04 14:24:23.864723;2026-08-19 00:00:00;;;;sem referencia
C-2026-000378;2026-08-07 17:02:01.413161;2026-08-06 17:10:09;2026-08-05 17:17:09;47.7;23.9;melhorou
C-2026-000380;2026-08-05 14:45:38.263175;2026-08-05 00:00:00;;;;sem referencia
C-2026-000382;2026-08-06 15:45:43.860745;2026-08-06 02:55:11;2026-08-05 03:05:11;36.7;23.8;melhorou
C-2026-000384;2026-08-19 17:39:40.236305;2026-08-05 19:35:36;2026-08-05 09:17:01;344.4;10.3;melhorou
C-2026-000385;2026-08-19 13:07:16.445156;2026-08-06 03:39:03;2026-08-05 03:44:03;345.4;23.9;melhorou
C-2026-000386;2026-08-08 06:30:46.569276;2026-08-08 14:42:03;2026-08-08 05:07:06;1.4;9.6;piorou
C-2026-000387;2026-08-06 13:58:38.871340;2026-08-06 07:34:12;2026-08-05 07:39:12;30.3;23.9;melhorou
C-2026-000390;2026-08-08 21:13:03.005101;2026-08-07 07:01:32;2026-08-06 07:01:32;62.2;24.0;melhorou
C-2026-000391;2026-08-06 18:22:58.861182;2026-08-07 00:25:45;2026-08-06 00:30:45;17.9;23.9;piorou
C-2026-000392;2026-08-19 13:08:08.302971;2026-08-26 00:00:00;;;;sem referencia
C-2026-000394;2026-08-11 19:15:57.069836;2026-08-12 19:12:26;2026-08-11 19:12:26;0.1;24.0;piorou
C-2026-000395;2026-08-06 20:26:37.885759;2026-08-07 03:17:16;2026-08-06 03:38:35;16.8;23.6;piorou
C-2026-000396;2026-08-08 18:22:12.392641;2026-08-07 00:25:45;2026-08-06 00:30:45;65.9;23.9;melhorou
C-2026-000397;2026-08-07 10:29:11.755490;2026-08-07 20:24:17;2026-08-06 23:46:24;10.7;20.6;piorou
C-2026-000398;2026-08-19 13:06:56.739372;2026-08-17 00:00:00;;;;sem referencia
C-2026-000399;2026-08-08 04:00:34.818646;2026-08-07 10:06:24;2026-08-06 10:11:24;41.8;23.9;melhorou
C-2026-000400;2026-08-10 18:52:05.196611;2026-08-09 22:15:13;2026-08-08 22:50:13;44.0;23.4;melhorou
C-2026-000427;2026-08-20 10:04:37.774155;2026-08-21 00:00:00;;;;sem referencia
C-2026-000428;2026-08-20 10:04:37.778420;2026-08-20 19:14:05;2026-08-19 19:19:05;14.8;23.9;piorou
