grupo;carga;status;motivo_fechamento;carregamento;conclusao;carreta;manifestos;carga_seguinte;ctes;observacao
A CONTINUACAO;C-2026-000443;Entregue;gps_carreta;2026-08-19;2026-08-21 12:06;QXA9H76;GYN005383-0 -> UDI028860-8;C-2026-000446;2;cavalo trocou
A CONTINUACAO;C-2026-000481;Entregue;gps_carreta;2026-08-22;2026-08-26 16:08;TYN8I98;GYN005385-6 -> NOD004805-4;C-2026-000514;1;cavalo trocou
A CONTINUACAO;C-2026-000500;Entregue;gps_carreta;2026-08-24;2026-08-27 21:56;QXA9H76;GYN005390-2 -> RIO003265-4;C-2026-000532;1;cavalo trocou
A CONTINUACAO;C-2026-000529;Entregue;;2026-08-26;2026-08-27 18:16;TDI2H14;GYN005392-9 -> UDI028977-9;C-2026-000546;1;cavalo trocou
A CONTINUACAO;C-2026-000634;Em rota;;2026-09-02;;TCE7I47;GYN005396-1 -> UDI029083-1;C-2026-000651;1;cavalo trocou
A CONTINUACAO;C-2026-000459;Entregue;manifesto_novo;2026-08-20;2026-08-21 00:00;HNL0A70;NOD004787-2 -> UDI028899-3;C-2026-000476;1;mesmo cavalo
A CONTINUACAO;C-2026-000456;Entregue;manifesto_novo;2026-08-20;2026-08-24 00:00;GSV8C03;NOD004788-1 -> GYN005389-9;C-2026-000503;1;cavalo trocou
A CONTINUACAO;C-2026-000485;Entregue;manifesto_novo;2026-08-22;2026-08-24 00:00;HKE0E20;NOD004795-3 -> UDI028923-0;C-2026-000505;1;cavalo trocou
A CONTINUACAO;C-2026-000480;Entregue;gps_carreta;2026-08-22;2026-08-24 11:26;HNH1D02;NOD004796-1 -> UDI028956-6;C-2026-000536;1;cavalo trocou
A CONTINUACAO;C-2026-000509;Entregue;gps_carreta;2026-08-25;2026-08-26 00:09;GZQ3A80;NOD004803-8 -> UDI028942-6;C-2026-000516;1;cavalo trocou
A CONTINUACAO;C-2026-000642;Entregue;;2026-09-03;2026-09-04 19:32;HNH1D02;NOD004836-4 -> UDI029087-4;C-2026-000647;1;mesmo cavalo
A CONTINUACAO;C-2026-000610;No destino;;2026-09-01;;HKE0D75;RIO003269-7 -> UDI029090-4;C-2026-000649;1;cavalo trocou
A CONTINUACAO;C-2026-000611;No destino;;2026-09-01;;HMV3G86;RIO003270-1 -> UDI029099-8;C-2026-000659;1;cavalo trocou
A CONTINUACAO;C-2026-000627;No destino;;2026-09-02;;JSX7G63;RIO003272-7 -> UDI029119-6;C-2026-000681;1;cavalo trocou
A CONTINUACAO;C-2026-000628;Aberta;;2026-09-02;;HOA0E66;RIO003275-1 -> UDI029118-8;C-2026-000676;1;mesmo cavalo
A CONTINUACAO;C-2026-000433;Entregue;gps_carreta;2026-08-18;2026-08-20 21:39;QXH6J44;UDI028849-7 -> UDI028863-2;C-2026-000451;1;cavalo trocou
A CONTINUACAO;C-2026-000487;Entregue;gps_carreta;2026-08-22;2026-08-26 12:40;HJW5I04;UDI028908-6 -> UDI028921-3;C-2026-000504;2;cavalo trocou
A CONTINUACAO;C-2026-000497;Entregue;gps_carreta;2026-08-24;2026-08-25 21:33;QXF1I45;UDI028920-5 -> UDI028941-8;C-2026-000523;4;cavalo trocou
A CONTINUACAO;C-2026-000508;Entregue;;2026-08-25;2026-08-26 20:07;TZB1D35;UDI028938-8 -> UDI028960-4;C-2026-000537;1;mesmo cavalo
A CONTINUACAO;C-2026-000508;Entregue;;2026-08-25;2026-08-26 20:07;TZB1D35;UDI028938-8 -> UDI028961-2;C-2026-000538;1;mesmo cavalo
A CONTINUACAO;C-2026-000550;Entregue;manifesto_novo;2026-08-27;2026-08-31 00:00;HNL0A70;UDI028985-0 -> UDI029030-1;C-2026-000605;1;mesmo cavalo
A CONTINUACAO;C-2026-000543;Entregue;gps_carreta;2026-08-27;2026-08-29 14:21;TZC9F36;UDI028989-2 -> UDI029010-6;C-2026-000579;1;cavalo trocou
A CONTINUACAO;C-2026-000563;Entregue;gps_carreta;2026-08-28;2026-08-31 21:06;HMV3G86;UDI028992-2 -> UDI029021-1;C-2026-000581;1;cavalo trocou
A CONTINUACAO;C-2026-000569;Entregue;gps_carreta;2026-08-28;2026-09-01 03:20;TCE7I47;UDI029005-0 -> UDI029025-4;C-2026-000589;2;cavalo trocou
A CONTINUACAO;C-2026-000597;Entregue;manifesto_novo;2026-08-31;2026-09-01 00:00;MWP0H69;UDI029031-9 -> UDI029048-3;C-2026-000615;2;cavalo trocou
A CONTINUACAO;C-2026-000641;Entregue;;2026-09-03;2026-09-04 00:00;TZB1D35;UDI029077-7 -> UDI029131-5;C-2026-000684;1;cavalo trocou
B TRANSBORDO QUE ENTREGOU;C-2026-000434;Entregue;transbordo_udi;2026-08-18;2026-08-21 00:00;HDI9F40;UDI028854-3;;;GPS mostra parada longa no destino
B TRANSBORDO QUE ENTREGOU;C-2026-000495;Entregue;transbordo_udi;2026-08-24;2026-09-02 00:00;TZC0I41;UDI028926-4;;;GPS mostra parada longa no destino
B TRANSBORDO QUE ENTREGOU;C-2026-000511;Entregue;transbordo_udi;2026-08-25;2026-08-30 00:00;HFB9H03;GYN005391-1;;;GPS mostra parada longa no destino
C FAIXA CINZA (metropole);C-2026-000507;Entregue;gps_carreta;2026-08-25;2026-08-29 00:27;QXG2G51;UDI028946-9;;;chegou fora do raio de 20 km
C FAIXA CINZA (metropole);C-2026-000566;Entregue;manifesto_novo;2026-08-28;2026-09-01 00:00;HKE0D75;UDI029002-5;;;chegou fora do raio de 20 km
